net,length_um
net1695,485.11µm
net2769,456.3µm
net2793,454.27µm
clknet_0_clk,438.94µm
_3033_,423.46µm
net1538,413.195µm
u_wm0.u_dm.data_mem\[2\]\[27\],393.87µm
_2641_,391.22µm
net1261,384.36µm
net1858,383.11µm
net1789,382.245µm
clknet_3_0__leaf_clk,370.84µm
net1796,355.325µm
net1703,354.2µm
net1649,339.93µm
net1227,338.44µm
net1713,333.65µm
net1864,316.82µm
_2596_,313.02µm
_2943_,311.14µm
_2916_,305µm
net1873,304.37µm
_2420_,301.13µm
net1104,297.96µm
net1625,296.68µm
net1863,295.82µm
net1794,295.43µm
net1846,294.7µm
_1607_,289.81µm
clknet_3_2__leaf_clk,289.06µm
net1768,288.05µm
clknet_3_1__leaf_clk,287.82µm
net1287,287.21µm
_0849_,286.09µm
net1338,282.09µm
net1251,278.76µm
clk,275.03µm
net1213,273.75µm
_0901_,272.95µm
net1696,271.84µm
net1231,271.37µm
net1816,271.11µm
net1624,270.87µm
net1263,269.14µm
net1769,267.29µm
_0956_,267.03µm
clknet_3_6__leaf_clk,264.18µm
net1611,263.96µm
net1781,263.6µm
net2097,263.07µm
net2816,262.5µm
net1337,261.08µm
net1321,258.28µm
net1166,258.02µm
u_wm0.u_dm.data_mem\[1\]\[21\],257.53µm
net1811,255.87µm
net1230,253.72µm
net1281,253.67µm
_2260_,251.94µm
_1856_,249.275µm
u_pc.pc\[30\],249.22µm
_2590_,248.48µm
net2412,247.9µm
net1265,247.7µm
_2320_,247.08µm
net1821,246.84µm
net1780,246.79µm
net1244,245.79µm
net1269,244.72µm
_2907_,244.41µm
_1892_,244.05µm
_1876_,242.51µm
net1289,242.07µm
_1757_,242.06µm
u_wm0.u_dm.data_mem\[0\]\[21\],242.04µm
net1308,241.605µm
_2519_,241.22µm
net1249,240.72µm
net1270,240.7µm
net1620,240.28µm
net1194,240.24µm
net1534,239.98µm
net1226,239.255µm
net1262,237.67µm
net2761,237.23µm
net1202,235.94µm
net1183,235.77µm
net1163,235.08µm
_1904_,231.65µm
_1958_,231.51µm
_2387_,230.3µm
net1555,230.09µm
u_wm0.u_dm.data_mem\[0\]\[20\],229.73µm
net1208,228.83µm
net1627,227.955µm
net1191,227.765µm
net2106,227.64µm
net1209,227.08µm
net2105,226.89µm
net1259,226.77µm
_2996_,226.46µm
u_wm0.u_dm.data_mem\[0\]\[18\],226µm
net2081,225µm
net2008,224.88µm
clknet_3_5__leaf_clk,222.38µm
net1333,222.335µm
_2638_,222.26µm
net1235,221.93µm
net1613,221.32µm
clknet_3_7__leaf_clk,220.795µm
u_wm0.u_dm.data_mem\[14\]\[18\],219.87µm
net1174,219.49µm
_2354_,218.99µm
_2021_,218.32µm
net1205,214.82µm
_2486_,214.53µm
net1761,214.3µm
net1288,213.33µm
_2963_,213.12µm
net1200,213µm
net1232,212.98µm
_3130_,212.88µm
net1918,212.81µm
_2944_,212.745µm
net1237,212.6µm
net1181,212.19µm
u_wm0.u_dm.data_mem\[14\]\[17\],212.13µm
u_wm0.u_dm.data_mem\[1\]\[18\],212.02µm
net2533,211.68µm
net2454,210.18µm
net1601,209.85µm
net2710,209.34µm
net2099,209.19µm
clknet_leaf_2_clk,208.74µm
net1225,207.99µm
_2659_,207.855µm
net1619,207.72µm
_2583_,206.43µm
_0986_,205.78µm
net1252,204.42µm
net1172,202.7µm
net1469,202.7µm
_0857_,202.26µm
net1694,202.08µm
net2096,201.78µm
_2711_,201.54µm
net1339,201.22µm
net2389,200.2µm
_1850_,199.28µm
net1190,199.15µm
_3049_,199.02µm
_2607_,198.97µm
u_wm0.u_dm.data_mem\[4\]\[13\],198.96µm
net1691,198.94µm
u_wm0.u_dm.data_mem\[13\]\[18\],198.55µm
clknet_3_4__leaf_clk,198.28µm
clknet_3_3__leaf_clk,198.08µm
u_wm0.u_dm.data_mem\[1\]\[19\],197.95µm
_2055_,197.5µm
net2778,196.89µm
_2740_,195.72µm
net1332,195.64µm
u_wm0.u_dm.data_mem\[4\]\[25\],195.3µm
net2582,195.09µm
u_wm0.u_dm.data_mem\[1\]\[20\],194.5µm
net2685,194.3µm
net1866,194.21µm
net1307,194.16µm
u_wm0.u_dm.data_mem\[2\]\[20\],194.14µm
net1187,194.1µm
net1600,193.68µm
net1822,192.96µm
_3034_,192.7µm
net1165,192.61µm
u_wm0.u_dm.data_mem\[5\]\[27\],192.43µm
net1197,192.42µm
_3136_,191.96µm
net1180,191.11µm
u_wm0.u_dm.data_mem\[15\]\[21\],191.04µm
_3090_,190.915µm
u_pc.pc\[28\],190.03µm
u_wm0.u_dm.data_mem\[0\]\[19\],189.96µm
net1847,189.4µm
net1168,188.88µm
u_wm0.u_dm.data_mem\[7\]\[25\],188.45µm
pc\[26\],188.32µm
net1841,188.04µm
net1196,187.74µm
net1647,186.85µm
_2226_,186.48µm
u_wm0.u_dm.data_mem\[3\]\[20\],186.185µm
_1839_,185.96µm
net1243,185.11µm
net1396,184.87µm
net2681,184.86µm
u_wm0.u_dm.data_mem\[2\]\[18\],184.81µm
_3001_,184.595µm
net1256,184.29µm
u_wm0.u_dm.data_mem\[9\]\[13\],184.25µm
net1343,184.175µm
net2673,184.17µm
net2170,184.12µm
net1199,183.98µm
net1276,183.755µm
net2818,183.66µm
u_wm0.u_dm.data_mem\[11\]\[13\],182.84µm
_3046_,182.63µm
_2717_,182.28µm
clknet_leaf_33_clk,182.26µm
u_wm0.u_dm.data_mem\[0\]\[16\],181.98µm
net2599,181.89µm
net1278,181.82µm
net1862,181.14µm
net1314,180.6µm
net1537,180.475µm
net1201,180.46µm
_2975_,180.445µm
net2433,180.3µm
u_wm0.u_dm.data_mem\[8\]\[13\],180.2µm
U_rf0.rd\[7\]\[7\],180.14µm
net1215,180.005µm
net2569,179.56µm
net1309,179.32µm
_2935_,179.2µm
net2094,179.14µm
net1186,178.9µm
net2483,178.86µm
clknet_leaf_25_clk,178.56µm
net1393,178.15µm
U_rf0.rd\[7\]\[21\],178.08µm
U_rf0.rd\[7\]\[3\],177.61µm
_1456_,176.8µm
net1169,176.5µm
u_wm0.u_dm.data_mem\[15\]\[18\],176.14µm
u_wm0.u_dm.data_mem\[6\]\[27\],175.78µm
_1964_,175.72µm
_1861_,175.52µm
_3039_,175.24µm
_2959_,175.04µm
clknet_leaf_8_clk,174.77µm
net1589,174.665µm
net2633,174.64µm
u_wm0.u_dm.data_mem\[14\]\[19\],174.6µm
net1474,174.29µm
u_wm0.u_dm.data_mem\[1\]\[27\],174.25µm
u_wm0.u_dm.data_mem\[3\]\[18\],174.18µm
_2929_,173.855µm
_1688_,173.68µm
u_wm0.u_dm.data_mem\[1\]\[17\],173.43µm
