Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_103_611,VGND,li1,286.8100,293.7600,0.000016
FILLER_103_608,VGND,li1,285.8900,293.7600,0.000016
FILLER_103_598,VGND,li1,280.8300,293.7600,0.000020
FILLER_103_586,VGND,li1,275.5400,293.7600,0.000030
FILLER_103_577,VGND,li1,271.1700,293.7600,0.000037
FILLER_103_557,VGND,li1,262.4300,293.7600,0.000043
FILLER_103_539,VGND,li1,253.6900,293.7600,0.000034
FILLER_103_536,VGND,li1,252.7700,293.7600,0.000034
FILLER_103_533,VGND,li1,251.3900,293.7600,0.000041
FILLER_103_513,VGND,li1,241.9600,293.7600,0.000044
FILLER_103_503,VGND,li1,237.1300,293.7600,0.000040
FILLER_103_500,VGND,li1,236.2100,293.7600,0.000040
FILLER_103_481,VGND,li1,227.2400,293.7600,0.000032
FILLER_103_447,VGND,li1,211.3700,293.7600,0.000032
FILLER_103_444,VGND,li1,210.4500,293.7600,0.000031
FILLER_103_441,VGND,li1,209.0700,293.7600,0.000031
FILLER_103_431,VGND,li1,204.0100,293.7600,0.000029
FILLER_103_421,VGND,li1,199.4100,293.7600,0.000027
FILLER_103_409,VGND,li1,194.3500,293.7600,0.000019
FILLER_103_399,VGND,li1,189.2900,293.7600,0.000018
FILLER_103_396,VGND,li1,188.3700,293.7600,0.000017
FILLER_103_393,VGND,li1,186.9900,293.7600,0.000017
FILLER_103_389,VGND,li1,185.1500,293.7600,0.000017
FILLER_103_362,VGND,li1,172.5000,293.7600,0.000010
FILLER_103_359,VGND,li1,171.3500,293.7600,0.000010
FILLER_103_340,VGND,li1,162.3800,293.7600,0.000006
FILLER_103_337,VGND,li1,161.2300,293.7600,0.000006
FILLER_103_335,VGND,li1,159.8500,293.7600,0.000006
FILLER_103_332,VGND,li1,158.9300,293.7600,0.000006
FILLER_103_329,VGND,li1,157.5500,293.7600,0.000006
FILLER_103_309,VGND,li1,148.1200,293.7600,0.000006
FILLER_103_290,VGND,li1,139.3800,293.7600,0.000005
FILLER_103_253,VGND,li1,122.3600,293.7600,0.000007
FILLER_103_250,VGND,li1,120.9800,293.7600,0.000007
FILLER_103_231,VGND,li1,112.0100,293.7600,0.000008
FILLER_103_228,VGND,li1,111.0900,293.7600,0.000008
FILLER_103_225,VGND,li1,109.7100,293.7600,0.000008
FILLER_103_197,VGND,li1,96.6000,293.7600,0.000015
FILLER_103_185,VGND,li1,91.3100,293.7600,0.000018
FILLER_103_182,VGND,li1,89.9300,293.7600,0.000018
FILLER_103_172,VGND,li1,84.8700,293.7600,0.000020
FILLER_103_169,VGND,li1,83.9500,293.7600,0.000020
FILLER_103_158,VGND,li1,78.6600,293.7600,0.000021
FILLER_103_113,VGND,li1,58.1900,293.7600,0.000039
FILLER_103_85,VGND,li1,45.0800,293.7600,0.000024
FILLER_103_57,VGND,li1,31.9700,293.7600,0.000039
FILLER_103_46,VGND,li1,26.9100,293.7600,0.000036
FILLER_102_611,VGND,li1,286.8100,288.3200,0.000036
FILLER_102_608,VGND,li1,285.8900,288.3200,0.000036
FILLER_102_533,VGND,li1,251.3900,288.3200,0.000056
FILLER_102_505,VGND,li1,238.2800,288.3200,0.000080
FILLER_102_477,VGND,li1,225.4000,288.3200,0.000079
FILLER_102_473,VGND,li1,223.7900,288.3200,0.000094
FILLER_102_438,VGND,li1,207.6900,288.3200,0.000085
FILLER_102_394,VGND,li1,186.9900,288.3200,0.000069
FILLER_102_391,VGND,li1,186.0700,288.3200,0.000069
FILLER_102_388,VGND,li1,184.6900,288.3200,0.000068
FILLER_102_368,VGND,li1,175.4900,288.3200,0.000062
FILLER_102_365,VGND,li1,174.1100,288.3200,0.000060
FILLER_102_353,VGND,li1,168.3600,288.3200,0.000051
FILLER_102_334,VGND,li1,159.6200,288.3200,0.000055
FILLER_102_256,VGND,li1,123.5100,288.3200,0.000069
FILLER_102_253,VGND,li1,122.5900,288.3200,0.000071
FILLER_102_233,VGND,li1,113.1600,288.3200,0.000072
FILLER_102_200,VGND,li1,98.2100,288.3200,0.000054
FILLER_102_197,VGND,li1,96.8300,288.3200,0.000056
FILLER_102_186,VGND,li1,91.3100,288.3200,0.000058
FILLER_102_150,VGND,li1,74.9800,288.3200,0.000047
FILLER_102_133,VGND,li1,67.3900,288.3200,0.000076
FILLER_102_89,VGND,li1,46.6900,288.3200,0.000078
FILLER_102_82,VGND,li1,43.7000,288.3200,0.000066
FILLER_102_79,VGND,li1,42.5500,288.3200,0.000066
FILLER_102_44,VGND,li1,25.9900,288.3200,0.000086
FILLER_102_41,VGND,li1,25.0700,288.3200,0.000086
FILLER_102_29,VGND,li1,19.5500,288.3200,0.000068
FILLER_102_27,VGND,li1,18.1700,288.3200,0.000060
FILLER_102_24,VGND,li1,17.2500,288.3200,0.000060
FILLER_102_21,VGND,li1,15.8700,288.3200,0.000048
FILLER_102_3,VGND,li1,7.1300,288.3200,0.000054
FILLER_101_592,VGND,li1,278.5300,288.3200,0.000049
FILLER_101_589,VGND,li1,277.1500,288.3200,0.000054
FILLER_101_541,VGND,li1,254.8400,288.3200,0.000055
FILLER_101_505,VGND,li1,238.2800,288.3200,0.000080
FILLER_101_501,VGND,li1,236.6700,288.3200,0.000082
FILLER_101_482,VGND,li1,227.7000,288.3200,0.000083
FILLER_101_445,VGND,li1,210.9100,288.3200,0.000091
FILLER_101_418,VGND,li1,198.0300,288.3200,0.000065
FILLER_101_415,VGND,li1,197.1100,288.3200,0.000065
FILLER_101_397,VGND,li1,188.3700,288.3200,0.000065
FILLER_101_354,VGND,li1,169.0500,288.3200,0.000051
FILLER_101_333,VGND,li1,159.3900,288.3200,0.000055
FILLER_101_330,VGND,li1,158.0100,288.3200,0.000055
