Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_103_611,VPWR,li1,286.8100,291.0400,1.799963
FILLER_103_608,VPWR,li1,285.8900,291.0400,1.799963
FILLER_103_598,VPWR,li1,280.8300,291.0400,1.799963
FILLER_103_586,VPWR,li1,275.5400,291.0400,1.799947
FILLER_103_577,VPWR,li1,271.1700,291.0400,1.799933
FILLER_103_557,VPWR,li1,262.4300,291.0400,1.799920
FILLER_103_539,VPWR,li1,253.6900,291.0400,1.799930
FILLER_103_536,VPWR,li1,252.7700,291.0400,1.799930
FILLER_103_533,VPWR,li1,251.3900,291.0400,1.799934
FILLER_103_513,VPWR,li1,241.9600,291.0400,1.799905
FILLER_103_503,VPWR,li1,237.1300,291.0400,1.799897
FILLER_103_500,VPWR,li1,236.2100,291.0400,1.799897
FILLER_103_481,VPWR,li1,227.2400,291.0400,1.799889
FILLER_103_447,VPWR,li1,211.3700,291.0400,1.799912
FILLER_103_444,VPWR,li1,210.4500,291.0400,1.799912
FILLER_103_441,VPWR,li1,209.0700,291.0400,1.799912
FILLER_103_431,VPWR,li1,204.0100,291.0400,1.799913
FILLER_103_421,VPWR,li1,199.4100,291.0400,1.799916
FILLER_103_409,VPWR,li1,194.3500,291.0400,1.799930
FILLER_103_399,VPWR,li1,189.2900,291.0400,1.799956
FILLER_103_396,VPWR,li1,188.3700,291.0400,1.799956
FILLER_103_393,VPWR,li1,186.9900,291.0400,1.799956
FILLER_103_389,VPWR,li1,185.1500,291.0400,1.799956
FILLER_103_362,VPWR,li1,172.5000,291.0400,1.799965
FILLER_103_359,VPWR,li1,171.3500,291.0400,1.799965
FILLER_103_340,VPWR,li1,162.3800,291.0400,1.799975
FILLER_103_337,VPWR,li1,161.2300,291.0400,1.799979
FILLER_103_335,VPWR,li1,159.8500,291.0400,1.799979
FILLER_103_332,VPWR,li1,158.9300,291.0400,1.799978
FILLER_103_329,VPWR,li1,157.5500,291.0400,1.799978
FILLER_103_309,VPWR,li1,148.1200,291.0400,1.799974
FILLER_103_290,VPWR,li1,139.3800,291.0400,1.799974
FILLER_103_253,VPWR,li1,122.3600,291.0400,1.799971
FILLER_103_250,VPWR,li1,120.9800,291.0400,1.799971
FILLER_103_231,VPWR,li1,112.0100,291.0400,1.799969
FILLER_103_228,VPWR,li1,111.0900,291.0400,1.799969
FILLER_103_225,VPWR,li1,109.7100,291.0400,1.799970
FILLER_103_197,VPWR,li1,96.6000,291.0400,1.799970
FILLER_103_185,VPWR,li1,91.3100,291.0400,1.799963
FILLER_103_182,VPWR,li1,89.9300,291.0400,1.799963
FILLER_103_172,VPWR,li1,84.8700,291.0400,1.799959
FILLER_103_169,VPWR,li1,83.9500,291.0400,1.799958
FILLER_103_158,VPWR,li1,78.6600,291.0400,1.799955
FILLER_103_113,VPWR,li1,58.1900,291.0400,1.799934
FILLER_103_85,VPWR,li1,45.0800,291.0400,1.799951
FILLER_103_57,VPWR,li1,31.9700,291.0400,1.799943
FILLER_103_46,VPWR,li1,26.9100,291.0400,1.799946
FILLER_102_611,VPWR,li1,286.8100,291.0400,1.799963
FILLER_102_608,VPWR,li1,285.8900,291.0400,1.799963
FILLER_102_533,VPWR,li1,251.3900,291.0400,1.799934
FILLER_102_505,VPWR,li1,238.2800,291.0400,1.799899
FILLER_102_477,VPWR,li1,225.4000,291.0400,1.799890
FILLER_102_473,VPWR,li1,223.7900,291.0400,1.799890
FILLER_102_438,VPWR,li1,207.6900,291.0400,1.799913
FILLER_102_394,VPWR,li1,186.9900,291.0400,1.799956
FILLER_102_391,VPWR,li1,186.0700,291.0400,1.799956
FILLER_102_388,VPWR,li1,184.6900,291.0400,1.799956
FILLER_102_368,VPWR,li1,175.4900,291.0400,1.799960
FILLER_102_365,VPWR,li1,174.1100,291.0400,1.799962
FILLER_102_353,VPWR,li1,168.3600,291.0400,1.799968
FILLER_102_334,VPWR,li1,159.6200,291.0400,1.799979
FILLER_102_256,VPWR,li1,123.5100,291.0400,1.799973
FILLER_102_253,VPWR,li1,122.5900,291.0400,1.799971
FILLER_102_233,VPWR,li1,113.1600,291.0400,1.799969
FILLER_102_200,VPWR,li1,98.2100,291.0400,1.799973
FILLER_102_197,VPWR,li1,96.8300,291.0400,1.799970
FILLER_102_186,VPWR,li1,91.3100,291.0400,1.799963
FILLER_102_150,VPWR,li1,74.9800,291.0400,1.799955
FILLER_102_133,VPWR,li1,67.3900,291.0400,1.799945
FILLER_102_89,VPWR,li1,46.6900,291.0400,1.799947
FILLER_102_82,VPWR,li1,43.7000,291.0400,1.799954
FILLER_102_79,VPWR,li1,42.5500,291.0400,1.799954
FILLER_102_44,VPWR,li1,25.9900,291.0400,1.799948
FILLER_102_41,VPWR,li1,25.0700,291.0400,1.799948
FILLER_102_29,VPWR,li1,19.5500,291.0400,1.799958
FILLER_102_27,VPWR,li1,18.1700,291.0400,1.799958
FILLER_102_24,VPWR,li1,17.2500,291.0400,1.799963
FILLER_102_21,VPWR,li1,15.8700,291.0400,1.799963
FILLER_102_3,VPWR,li1,7.1300,291.0400,1.799974
FILLER_101_592,VPWR,li1,278.5300,285.6000,1.799963
FILLER_101_589,VPWR,li1,277.1500,285.6000,1.799958
FILLER_101_541,VPWR,li1,254.8400,285.6000,1.799931
FILLER_101_505,VPWR,li1,238.2800,285.6000,1.799879
FILLER_101_501,VPWR,li1,236.6700,285.6000,1.799879
FILLER_101_482,VPWR,li1,227.7000,285.6000,1.799892
FILLER_101_445,VPWR,li1,210.9100,285.6000,1.799892
FILLER_101_418,VPWR,li1,198.0300,285.6000,1.799912
FILLER_101_415,VPWR,li1,197.1100,285.6000,1.799912
FILLER_101_397,VPWR,li1,188.3700,285.6000,1.799939
FILLER_101_354,VPWR,li1,169.0500,285.6000,1.799946
FILLER_101_333,VPWR,li1,159.3900,285.6000,1.799962
FILLER_101_330,VPWR,li1,158.0100,285.6000,1.799956
FILLER_101_290,VPWR,li1,139.3800,285.6000,1.799943
FILLER_101_277,VPWR,li1,133.6300,285.6000,1.799943
FILLER_101_247,VPWR,li1,119.3700,285.6000,1.799904
FILLER_101_229,VPWR,li1,111.0900,285.6000,1.799911
FILLER_101_204,VPWR,li1,100.0500,285.6000,1.799950
FILLER_101_169,VPWR,li1,83.4900,285.6000,1.799932
FILLER_101_167,VPWR,li1,82.5700,285.6000,1.799932
FILLER_101_149,VPWR,li1,74.2900,285.6000,1.799933
FILLER_101_129,VPWR,li1,65.5500,285.6000,1.799904
FILLER_101_113,VPWR,li1,58.1900,285.6000,1.799860
FILLER_101_57,VPWR,li1,31.9700,285.6000,1.799883
FILLER_101_38,VPWR,li1,23.2300,285.6000,1.799877
FILLER_101_20,VPWR,li1,14.9500,285.6000,1.799908
FILLER_100_611,VPWR,li1,286.8100,285.6000,1.799965
FILLER_100_608,VPWR,li1,285.8900,285.6000,1.799965
FILLER_100_578,VPWR,li1,271.6300,285.6000,1.799946
FILLER_100_565,VPWR,li1,265.8800,285.6000,1.799938
FILLER_100_562,VPWR,li1,264.7300,285.6000,1.799938
FILLER_100_522,VPWR,li1,245.8700,285.6000,1.799897
FILLER_100_436,VPWR,li1,206.7700,285.6000,1.799888
FILLER_100_424,VPWR,li1,201.2500,285.6000,1.799901
FILLER_100_421,VPWR,li1,199.8700,285.6000,1.799907
FILLER_100_411,VPWR,li1,194.8100,285.6000,1.799922
FILLER_100_399,VPWR,li1,189.7500,285.6000,1.799939
FILLER_100_380,VPWR,li1,180.7800,285.6000,1.799935
FILLER_100_371,VPWR,li1,176.4100,285.6000,1.799938
FILLER_100_368,VPWR,li1,175.4900,285.6000,1.799938
FILLER_100_365,VPWR,li1,174.1100,285.6000,1.799939
FILLER_100_354,VPWR,li1,168.5900,285.6000,1.799946
FILLER_100_351,VPWR,li1,167.6700,285.6000,1.799949
FILLER_100_348,VPWR,li1,166.2900,285.6000,1.799949
FILLER_100_337,VPWR,li1,161.0000,285.6000,1.799962
FILLER_100_334,VPWR,li1,159.8500,285.6000,1.799962
FILLER_100_289,VPWR,li1,138.9200,285.6000,1.799943
FILLER_100_266,VPWR,li1,128.3400,285.6000,1.799937
FILLER_100_241,VPWR,li1,117.0700,285.6000,1.799905
FILLER_100_238,VPWR,li1,115.6900,285.6000,1.799906
FILLER_100_200,VPWR,li1,98.2100,285.6000,1.799947
FILLER_100_197,VPWR,li1,96.8300,285.6000,1.799944
FILLER_100_187,VPWR,li1,91.7700,285.6000,1.799938
FILLER_100_169,VPWR,li1,83.4900,285.6000,1.799932
FILLER_100_150,VPWR,li1,74.9800,285.6000,1.799933
FILLER_100_85,VPWR,li1,45.3100,285.6000,1.799873
FILLER_100_73,VPWR,li1,39.5600,285.6000,1.799906
FILLER_100_62,VPWR,li1,34.5000,285.6000,1.799889
FILLER_100_19,VPWR,li1,14.4900,285.6000,1.799908
FILLER_100_9,VPWR,li1,9.8900,285.6000,1.799943
